CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.4;9;1;4;3;1;140;10
01:00;0.4;6;2;8;3;1;160;7
02:00;1.6;44;3;62;31;9;470;57
03:00;2.8;48;5;71;36;19;720;77
04:00;6.2;32;10;53;26;13;440;51
05:00;0.4;8;7;25;13;0;180;9
06:00;0.4;13;5;25;12;2;140;15
07:00;0.4;15;4;25;13;3;140;20
08:00;1.5;29;6;55;30;12;910;47
09:00;3.8;16;9;28;15;2;180;20
10:00;1.8;28;7;50;26;11;670;45
11:00;1.3;23;6;40;24;11;670;39
12:00;1.3;10;5;31;18;5;170;17
13:00;0.4;19;4;33;19;7;200;28
14:00;0.4;29;4;37;20;12;330;46
15:00;0.4;35;4;41;21;15;400;58
16:00;0.4;21;3;30;17;10;290;37
17:00;0.4;23;3;24;15;13;260;43
18:00;0.4;26;3;21;12;15;370;48
19:00;0.4;22;3;16;8;9;250;35
20:00;0.4;19;2;8;3;7;200;30
21:00;0.4;20;2;4;3;7;200;30
22:00;0.4;20;2;5;3;6;210;28
23:00;0.4;18;1;4;3;6;;28
