CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.2;27;5;4;330;32
01:00;0.6;17;6;2;270;20
02:00;0.4;8;2;1;190;10
03:00;0.4;9;2;1;220;10
04:00;0.4;7;2;1;240;9
05:00;0.4;7;2;2;230;10
06:00;0.4;16;2;6;300;24
07:00;0.4;31;3;12;440;49
08:00;1.1;37;2;20;580;67
09:00;1.4;38;2;21;510;70
10:00;1;35;2;20;470;65
11:00;1;20;1;11;300;37
12:00;0.4;15;1;9;280;28
13:00;0.6;;;;;
14:00;0.8;21;3;11;240;36
15:00;0.4;24;4;14;270;44
16:00;0.6;36;4;20;320;66
17:00;1.2;32;4;18;280;59
18:00;1.3;34;5;17;320;60
19:00;1;38;4;14;260;59
20:00;1.5;39;5;15;330;61
21:00;1.3;26;4;8;310;38
22:00;;27;5;6;390;35
23:00;;34;4;8;;46
