CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;2.6;20;38;31;510
01:00;3.2;22;93;75;830
02:00;3.2;27;84;65;1190
03:00;3.2;27;66;52;820
04:00;3.2;31;65;52;1050
05:00;2.9;37;70;57;980
06:00;2.9;34;66;54;810
07:00;2.9;30;70;56;840
08:00;2.9;28;84;66;910
09:00;2.9;28;94;70;1270
10:00;2.9;27;88;68;760
11:00;2.9;23;;67;650
12:00;2.9;29;;62;820
13:00;2.9;32;62;46;1730
14:00;2.8;30;50;40;710
15:00;2.6;32;52;38;
16:00;2.6;36;48;35;
17:00;2.6;38;48;33;970
18:00;2.6;30;42;31;770
19:00;2.6;23;36;28;570
20:00;2.6;22;35;27;570
21:00;2.6;25;41;33;580
22:00;2.6;23;43;35;570
23:00;2.6;21;41;33;530
