CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
00:00;2.09864;24.0895;3.81193;39.1033;32.6538;4.77601;528.661;671.07;31.4136
01:00;2.57127;26.2235;3.55627;46.7786;39.052;3.73026;626.793;676.736;31.9476
02:00;2.71486;29.839;4.67864;50.5101;42.1406;3.70537;653.008;682.386;35.517
03:00;2.37114;28.8475;4.61214;52.1865;43.6703;3.80577;647.19;673.868;34.6
04:00;2.15841;25.4254;3.40628;44.3037;37.2208;3.48398;588.937;646.962;30.8
05:00;2.04019;25.0545;5.23059;36.326;30.3176;5.01052;557.423;624.592;32.7
06:00;2.28665;29.1015;4.77027;32.7087;27.271;20.0705;646.426;616.371;59.8
07:00;2.61671;29.7259;4.58407;25.377;21.7013;37.188;719.695;621.017;86.5
08:00;2.69549;30.1478;4.42151;18.367;15.8517;56.2466;816.157;656.954;116
09:00;2.60693;30.0027;5.41532;16.7141;14.3493;63.5887;785.951;676.848;127.2
10:00;2.5373;32.3669;5.50546;16.8717;14.457;58.4476;781.265;692.881;121.6
11:00;2.48909;30.5958;6.19928;22.604;16.8154;42.4888;714.365;701.277;95.5
12:00;1.8712;30.6989;8.57776;27.0741;21.7724;36.4519;697.964;714.906;86.5
13:00;1.54122;30.4103;12.1266;27.9205;22.1246;19.7158;517.933;709.97;60.5
14:00;1.73001;37.0134;8.7514;48.0164;38.5491;17.4649;552.1;698.179;63.7
15:00;1.42407;27.5042;6.6234;49.074;40.0832;16.3832;502.345;671.01;52.642
16:00;1.37065;27.1885;5.54979;48.6504;36.7991;14.2615;512.179;633.013;49.0621
17:00;2.02077;38.361;4.82125;42.4839;31.6077;19.3638;526.641;600.599;68.0587
18:00;2.22484;53.8483;4.04689;54.6793;44.4386;45.8716;790.452;601.747;124.247
19:00;2.44085;52.5443;4.08236;58.1045;47.9214;39.1745;715.85;601.933;112.648
20:00;2.53217;51.0197;4.22201;47.8077;39.7313;38.7824;762.823;610.04;110.517
21:00;2.56647;42.6843;4.01143;51.9219;43.2006;18.35;654.701;627.136;70.8341
22:00;2.43715;37.8631;3.83779;60.7467;50.3478;14.8871;624.54;636.191;60.7016
23:00;1.90106;32.4083;4.32915;57.5804;47.7216;11.1229;551.297;642.31;49.4755
00:00;1.63665;28.7285;4.17768;54.639;45.3726;6.45115;485.802;639.013;38.624
01:00;1.45592;23.2801;4.02768;58.4037;48.4831;3.71467;468.913;631.797;28.9814
