CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1;14;2;3;270;18
01:00;0.6;12;2;2;250;14
02:00;0.4;8;1;2;140;11
03:00;0.4;8;1;2;130;11
04:00;0.4;7;2;2;140;10
05:00;0.4;11;2;2;140;14
06:00;0.4;28;7;13;200;48
07:00;0.4;41;18;21;280;72
08:00;0.6;41;20;24;310;77
09:00;0.8;37;21;24;320;73
10:00;0.8;38;31;27;280;79
11:00;0.8;32;25;20;240;61
12:00;0.6;30;28;22;260;64
13:00;0.9;29;24;22;260;62
14:00;0.9;21;7;14;260;43
15:00;0.9;23;3;18;320;50
16:00;1.1;28;3;20;410;57
17:00;1.3;23;2;16;350;47
18:00;1.3;;;;;
19:00;1.4;22;2;12;370;40
20:00;1.7;29;2;12;;47
21:00;1.7;27;2;10;420;42
22:00;1.5;23;2;7;350;33
23:00;1.3;21;2;6;350;29
