CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;47;4;40;22;7;500;58
01:00;20;4;25;13;3;310;24
02:00;21;4;83;42;3;1380;26
03:00;20;3;50;25;3;840;25
04:00;20;3;41;21;7;670;31
05:00;17;4;35;17;11;510;34
06:00;14;3;40;21;17;460;40
07:00;35;4;61;27;43;960;101
08:00;52;14;170;47;30;1390;98
09:00;39;12;83;19;13;580;58
10:00;19;8;49;9;3;230;25
11:00;15;7;43;8;2;280;18
12:00;6;6;19;3;0;200;7
13:00;6;6;18;3;1;170;8
14:00;6;5;21;3;1;190;7
15:00;6;5;22;3;1;190;8
16:00;7;5;19;3;1;210;8
17:00;8;4;20;3;1;;9
18:00;9;4;25;5;1;220;11
19:00;11;4;30;9;1;250;12
20:00;25;5;30;9;5;290;32
21:00;51;5;30;11;7;470;61
22:00;54;4;48;23;10;620;69
23:00;37;4;50;27;5;590;44
