CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;7;25;5;9;400;39
01:00;35.8;25;4;195;2680;322
02:00;38;20;3;140;2770;234
03:00;32.6;18;4;112;2540;189
04:00;31;17;3;92;2370;157
05:00;26.7;16;3;87;2200;149
06:00;23.2;17;4;97;;166
07:00;23.3;19;4;140;2450;232
08:00;23.5;19;3;178;2410;291
09:00;23.8;34;4;253;2570;421
10:00;26.6;39;7;119;1800;220
11:00;27.6;36;7;32;700;85
12:00;7.3;33;7;22;310;66
13:00;;33;5;18;290;61
14:00;;35;8;14;240;55
15:00;4.9;32;6;8;510;44
16:00;6.5;33;4;6;500;42
17:00;4.5;35;4;4;310;41
18:00;5.5;39;6;8;310;51
19:00;16.1;44;6;114;990;217
20:00;21.7;38;6;80;950;160
21:00;18.4;36;10;21;850;68
22:00;20.8;36;11;11;800;53
23:00;11;28;7;4;420;34
