CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.7;55;6;22;12;460;72
01:00;0.7;44;6;31;9;420;57
02:00;0.4;18;4;17;1;260;20
03:00;0.4;17;5;11;1;260;18
04:00;0.4;18;5;22;3;270;22
05:00;0.4;23;4;18;3;330;29
06:00;0.4;25;6;20;9;400;38
07:00;0.4;30;5;20;18;490;57
08:00;0.4;31;7;17;21;460;64
09:00;0.7;22;9;21;11;410;38
10:00;0.4;27;34;17;15;390;49
11:00;0.4;19;11;20;9;;32
12:00;0.4;20;13;20;9;310;34
13:00;0.4;18;9;22;7;280;29
14:00;0.4;17;7;16;8;350;30
15:00;0.4;23;5;20;9;370;37
16:00;0.4;19;5;18;8;350;32
17:00;0.4;29;4;23;14;390;50
18:00;0.4;22;5;18;11;400;40
19:00;0.4;25;6;11;10;390;40
20:00;0.7;30;6;7;9;400;43
21:00;0.4;26;4;15;7;390;36
22:00;0.4;49;8;14;12;480;68
23:00;0.7;53;7;16;14;560;75
