CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;21;4;20;13;4;28
01:00;17;3;20;13;2;20
02:00;15;3;61;42;35;67
03:00;12;2;60;42;23;45
04:00;12;3;58;42;21;44
05:00;9;3;57;40;23;44
06:00;10;3;57;40;24;46
07:00;9;3;55;38;24;45
08:00;14;3;70;47;84;143
09:00;31;4;77;48;78;149
10:00;33;5;32;19;31;79
11:00;24;4;10;5;12;41
12:00;28;8;6;3;11;44
13:00;23;4;8;3;7;33
14:00;18;4;13;3;6;27
15:00;25;4;14;3;9;38
16:00;27;5;8;3;10;43
17:00;39;5;9;3;14;60
18:00;49;4;11;4;20;80
19:00;51;4;11;5;26;90
20:00;50;4;17;11;32;100
21:00;41;3;13;7;18;68
22:00;38;3;11;6;9;51
23:00;32;3;13;8;11;50
