CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Tlenek węgla
00:00;1;2;23;570
01:00;1;2;24;630
02:00;;;;
03:00;;;;
04:00;;;;
05:00;;;;
06:00;;;;
07:00;;;;
08:00;;;;
09:00;;;;
10:00;0.8;;21;
11:00;1.3;2;21;560
12:00;1;1;24;
13:00;0.7;1;13;550
14:00;0.6;1;21;650
15:00;0.9;2;33;780
16:00;1;2;20;790
17:00;1.3;3;35;890
18:00;2;3;32;920
19:00;2;2;36;910
20:00;2;2;37;1020
21:00;2;2;41;960
22:00;2;2;36;870
23:00;1.8;2;36;680
