CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.4;25;5;5;530;32
01:00;1.4;19;5;3;360;23
02:00;3.5;29;3;15;780;52
03:00;3;23;2;34;830;76
04:00;4.7;19;2;58;1360;107
05:00;6.1;17;3;59;1610;106
06:00;7.2;17;3;81;1660;140
07:00;6.2;18;3;88;1430;152
08:00;5;18;2;89;1290;154
09:00;5.1;27;4;91;1320;166
10:00;5;28;5;37;830;84
11:00;1.6;19;5;6;460;28
12:00;0.9;27;5;11;510;43
13:00;0.8;35;8;16;410;59
14:00;0.9;32;20;13;390;52
15:00;0.4;23;6;8;290;35
16:00;0.9;32;6;11;390;48
17:00;1.1;44;5;11;;61
18:00;1.3;42;5;12;570;60
19:00;1.4;41;6;14;540;61
20:00;1.9;46;7;13;640;65
21:00;1.9;32;6;10;570;47
22:00;1.6;31;5;7;500;42
23:00;1.7;30;5;7;520;41
