CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;37;3;5;540;44
01:00;34;3;3;530;38
02:00;31;2;20;680;60
03:00;34;1;16;570;57
04:00;32;1;17;560;57
05:00;32;1;15;540;55
06:00;32;2;21;560;63
07:00;27;1;22;570;60
08:00;41;2;44;620;109
09:00;36;4;19;480;65
10:00;28;11;10;390;43
11:00;27;9;9;400;40
12:00;24;6;6;370;33
13:00;21;10;5;320;28
14:00;19;8;4;310;24
15:00;20;6;3;330;23
16:00;24;12;2;370;27
17:00;22;10;2;440;25
18:00;25;9;3;510;29
19:00;33;6;5;390;39
20:00;42;4;7;460;54
21:00;39;3;5;450;46
22:00;42;3;7;500;52
23:00;37;2;4;540;43
