CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
00:00;1.6094;22.7732;2.87068;29.6723;15.9163;4.22213;319.543;234.842;29.2487
01:00;3.25248;37.9491;3.92508;49.5074;23.8704;23.9628;975.163;327.581;74.7069
02:00;2.45361;27.1003;3.02363;35.097;22.1613;7.77856;528.946;375.706;39.0332
03:00;0.96566;15.6558;2.55666;21.223;15.7067;2.80852;276.014;383.947;19.9627
04:00;0.80082;14.1833;2.61059;19.9957;14.7228;5.16431;246.624;380.943;22.1084
05:00;0.90624;15.0054;2.37046;21.8003;15.8105;16.7067;273.523;392.314;40.6279
06:00;1.27986;11.867;1.49443;21.6791;15.9131;14.1392;261.086;391.508;33.5551
07:00;1.52202;14.2439;1.51999;25.0329;16.9638;53.4869;341.707;402.826;96.2988
08:00;2.354;16.0293;2.43696;31.6158;21.7207;83.6027;484.967;423.504;144.313
09:00;2.93541;22.1361;2.91502;33.3165;21.8042;70.7932;473.802;360.834;130.741
10:00;2.85719;20.8166;4.52432;38.6289;23.409;36.7571;304.376;332.762;77.206
11:00;3.1515;22.2918;7.41928;40.9016;22.2993;21.7681;364.124;343.776;55.6848
12:00;3.69132;31.6745;17.7342;51.316;27.2305;33.6053;593.186;387.096;83.2468
13:00;1.17824;10.1304;9.40098;20.9453;12.0893;3.45073;231.534;381.848;15.431
14:00;0.7927;13.0722;9.25764;23.235;16.202;4.48504;157.457;368.894;19.9558
15:00;0.95597;12.6736;6.81561;21.9624;15.3387;3.66479;184.183;349.204;18.2994
16:00;1.11136;9.05487;6.32868;18.2408;13.1022;2.03815;315.505;328.021;12.1794
17:00;0.69592;8.66483;4.76446;12.7785;8.9214;1.56983;218.916;296.16;11.0678
18:00;2.48472;23.5607;3.73518;57.5232;37.8667;10.3712;360.61;303.189;39.4673
19:00;2.974;37.9157;3.44258;40.236;25.44;23.2697;586.713;331.013;73.625
20:00;3.3497;41.4696;3.78838;40.8741;25.4408;104.536;937.886;374.101;201.83
21:00;5.8425;33.1071;3.42633;68.8152;45.9921;103.141;1162.28;490.444;191.34
22:00;4.7558;26.1773;3.71893;75.0985;51.3947;108.826;1102.31;608.55;193.129
23:00;5.96116;22.2439;3.74553;90.8251;63.1001;107.832;1273.02;744.655;187.675
00:00;6.26622;17.2606;2.16977;89.5722;63.511;92.6878;1268.88;863.827;159.451
