CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.2;46;6;11;730;63
01:00;3.1;46;5;8;640;57
02:00;1.3;21;4;4;380;27
03:00;1.3;25;3;5;390;32
04:00;1.5;29;3;18;490;57
05:00;1.4;25;3;4;430;31
06:00;1.4;31;3;20;470;61
07:00;1.8;36;2;53;660;117
08:00;2.4;38;4;77;760;155
09:00;2.7;43;7;37;610;99
10:00;1.7;32;5;7;310;43
11:00;1.3;36;4;12;360;54
12:00;1;33;3;11;580;49
13:00;1;33;1;11;1320;48
14:00;1.1;37;2;19;1000;67
15:00;1.3;44;2;21;690;77
16:00;1.3;52;2;38;;109
17:00;2;59;2;38;800;118
18:00;1.5;31;2;8;500;43
19:00;1.3;46;3;17;570;71
20:00;2.2;70;3;36;840;125
21:00;2.9;66;3;32;750;114
22:00;2.6;56;5;19;720;84
23:00;3.1;54;6;24;790;90
