CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5.8;67;6;182;25;1250;104
01:00;5.5;59;5;154;11;1080;74
02:00;5.2;56;14;170;8;1170;67
03:00;10.5;49;11;192;6;880;58
04:00;6;41;7;166;7;1440;51
05:00;12.7;37;4;228;10;1360;51
06:00;9.8;30;3;178;7;1100;39
07:00;5.8;41;2;141;47;1140;111
08:00;4.3;42;4;141;42;1080;105
09:00;4.5;60;29;134;43;1270;125
10:00;15;73;42;203;69;2010;178
11:00;24.9;30;28;206;9;1010;44
12:00;5;17;14;111;3;700;21
13:00;0.4;13;13;52;2;;15
14:00;0.8;18;15;62;3;550;22
15:00;0.8;19;17;55;3;530;22
16:00;0.4;19;13;63;2;530;22
17:00;0.4;26;19;70;3;640;29
18:00;1.6;23;17;103;2;530;25
19:00;1.6;37;20;100;2;620;39
20:00;2.1;34;12;109;2;730;35
21:00;5.8;64;27;164;17;1100;89
22:00;15.5;80;11;177;38;1100;139
23:00;5.8;78;7;182;52;1390;157
