CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;2;88;48;1300
01:00;2;91;53;1150
02:00;1;50;31;730
03:00;2;52;32;630
04:00;2;51;33;590
05:00;1;51;34;540
06:00;1;55;32;510
07:00;3;63;38;590
08:00;4;50;23;730
09:00;4;47;12;710
10:00;2;51;9;590
11:00;4;21;5;360
12:00;;22;5;320
13:00;7;14;5;230
14:00;3;10;5;220
15:00;14;11;5;310
16:00;7;12;5;280
17:00;2;11;5;290
18:00;1;14;5;370
19:00;10;23;5;420
20:00;2;36;5;590
21:00;2;96;53;780
22:00;2;111;70;970
23:00;3;89;50;1480
