CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6.6;11;1;92;1130;150
01:00;8.1;10;1;82;1190;134
02:00;1.8;21;1;3;560;25
03:00;1.8;13;2;3;570;17
04:00;2;15;1;5;630;24
05:00;2.1;17;2;5;650;24
06:00;2.3;26;1;26;770;65
07:00;2.5;35;1;48;900;108
08:00;2.9;36;2;57;1030;124
09:00;3.6;40;1;74;1180;153
10:00;3.5;39;2;49;1010;113
11:00;2.5;34;1;31;1060;80
12:00;2.6;44;2;38;840;101
13:00;2.6;31;1;22;470;64
14:00;1.4;26;1;14;560;46
15:00;1.8;10;2;3;270;15
16:00;0.8;20;1;8;320;32
17:00;1.3;13;1;3;230;18
18:00;0.4;15;2;3;250;19
19:00;0.4;17;1;2;;20
20:00;1;21;1;4;330;27
21:00;1.4;15;1;5;390;23
22:00;2.5;15;1;34;490;66
23:00;3.4;15;1;85;930;144
