CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;7.9;38;26;152;14;1430;58
01:00;7;46;20;133;36;;101
02:00;6.3;44;29;110;7;1490;54
03:00;6;39;27;112;3;1360;42
04:00;7.2;28;23;84;2;1360;30
05:00;3.2;22;25;98;1;1010;23
06:00;2.6;17;16;61;1;770;17
07:00;1.7;27;17;57;4;1060;32
08:00;3.7;24;10;46;2;640;25
09:00;0.4;23;10;19;3;450;27
10:00;0.4;27;10;31;9;650;38
11:00;0.6;28;11;41;12;490;46
12:00;1.1;44;13;40;41;860;106
13:00;1.5;44;17;77;28;1080;87
14:00;3.3;48;31;84;29;1110;92
15:00;3.7;52;41;71;42;1140;115
16:00;3.2;58;40;59;55;1250;141
17:00;3.9;;;86;;;
18:00;4.2;51;23;82;35;970;104
19:00;3.9;46;14;;32;940;93
20:00;3.7;42;13;;20;840;71
21:00;4.4;43;15;;22;1160;75
22:00;5.2;39;19;;5;820;46
23:00;4.1;34;23;159;12;1230;52
