CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;7.7;76;9;137;86;37;131
01:00;5.5;41;12;79;52;3;44
02:00;0.4;11;3;11;7;1;12
03:00;0.4;13;3;8;4;1;13
04:00;0.4;9;2;8;4;1;11
05:00;0.4;10;1;7;3;1;11
06:00;0.4;12;2;8;5;2;15
07:00;0.4;19;2;13;7;6;28
08:00;0.8;40;;20;10;18;66
09:00;0.9;43;14;24;11;23;77
10:00;0.9;37;27;21;10;21;69
11:00;0.9;28;23;17;9;15;50
12:00;0.9;25;14;17;8;15;47
13:00;0.9;21;9;17;9;10;36
14:00;0.9;27;20;17;9;12;44
15:00;0.9;24;8;18;9;10;38
16:00;0.7;23;3;18;8;10;38
17:00;0.9;27;3;19;10;14;49
18:00;0.9;39;2;21;10;29;84
19:00;0.9;38;2;22;10;17;63
20:00;0.9;40;3;26;11;10;54
21:00;1.1;72;4;43;17;16;95
22:00;3.6;87;4;124;59;31;132
23:00;8.7;87;9;146;87;57;173
