CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;39;5;35;32;930;86
01:00;35;6;45;12;670;53
02:00;18;9;25;3;370;22
03:00;15;7;19;2;390;17
04:00;19;8;22;3;450;22
05:00;28;9;21;16;590;52
06:00;34;12;32;26;770;74
07:00;18;8;40;6;380;26
08:00;13;15;30;5;330;20
09:00;25;44;30;14;430;46
10:00;15;21;20;6;380;24
11:00;7;8;12;3;320;10
12:00;4;5;6;2;240;8
13:00;8;5;8;4;330;13
14:00;8;5;9;4;220;14
15:00;6;4;8;3;200;10
16:00;6;4;16;3;180;10
17:00;9;5;22;2;;11
18:00;7;4;16;2;340;8
19:00;9;5;9;2;340;12
20:00;9;4;6;1;300;10
21:00;50;4;16;9;640;62
22:00;47;5;35;24;850;84
23:00;45;5;56;26;870;84
