CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;13;1;1;240;14
01:00;13;1;1;190;15
02:00;30;3;6;1150;38
03:00;24;3;5;630;32
04:00;17;2;4;480;24
05:00;13;2;3;550;17
06:00;13;2;9;560;27
07:00;17;2;9;850;29
08:00;20;3;7;1030;30
09:00;15;4;4;800;20
10:00;9;4;2;340;12
11:00;10;3;2;290;13
12:00;10;4;1;290;12
13:00;11;5;1;290;12
14:00;9;5;1;270;11
15:00;8;5;1;310;9
16:00;9;5;1;260;10
17:00;8;4;1;240;9
18:00;5;3;0;220;6
19:00;6;3;1;230;7
20:00;8;2;1;290;10
21:00;50;1;9;570;64
22:00;24;1;5;400;32
23:00;7;1;1;170;8
