CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;23;2;6;5;3;27
01:00;16;2;5;5;2;18
02:00;22;3;5;5;3;24
03:00;15;3;5;5;1;17
04:00;17;2;6;5;2;20
05:00;17;2;10;5;2;20
06:00;14;3;15;7;2;17
07:00;22;3;11;5;6;31
08:00;22;3;11;5;7;33
09:00;16;5;9;5;7;26
10:00;13;4;5;5;5;21
11:00;13;4;5;5;4;19
12:00;15;5;6;5;4;21
13:00;18;5;5;5;7;27
14:00;13;3;5;5;4;18
15:00;12;3;5;5;4;18
16:00;20;7;5;5;6;29
17:00;24;8;5;5;7;33
18:00;21;4;5;5;5;29
19:00;27;3;5;5;7;37
20:00;33;4;6;5;8;44
21:00;30;3;10;5;6;40
22:00;16;2;8;5;4;21
23:00;18;2;5;5;2;21
