CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6;23;35;26;5;570;29
01:00;0.9;14;33;24;2;530;17
02:00;1.7;29;32;21;14;580;50
03:00;2;24;31;21;7;500;35
04:00;2.1;18;31;20;8;480;30
05:00;1.4;16;33;21;8;460;28
06:00;1.4;10;35;21;11;440;27
07:00;0.3;14;37;22;51;610;91
08:00;1.1;22;30;20;47;630;95
09:00;0.9;23;35;22;40;610;83
10:00;2.2;26;37;23;29;590;70
11:00;1.9;22;41;25;19;570;50
12:00;1.2;25;104;75;12;1210;42
13:00;3;22;120;89;8;1380;34
14:00;1.3;19;83;61;7;1100;28
15:00;7.8;12;37;24;4;610;17
16:00;2.7;23;36;22;8;490;34
17:00;2.4;18;35;23;4;430;23
18:00;3.4;7;26;16;1;390;9
19:00;2;8;30;20;1;400;9
20:00;3;9;37;26;1;410;10
21:00;1.3;15;31;21;2;420;17
22:00;5.3;20;32;22;3;540;23
23:00;6.2;28;40;29;8;740;40
