CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;65;2;61;34;30;111
01:00;50;3;54;31;16;74
02:00;29;3;33;16;3;34
03:00;30;3;32;15;3;34
04:00;25;4;33;17;3;30
05:00;24;3;35;18;4;29
06:00;23;3;37;20;7;34
07:00;41;4;41;19;30;87
08:00;51;5;40;17;35;104
09:00;47;9;32;10;22;80
10:00;36;22;19;4;11;52
11:00;25;15;8;4;6;34
12:00;24;10;8;4;5;30
13:00;18;9;6;4;2;22
14:00;17;6;6;4;2;20
15:00;15;6;5;4;2;18
16:00;19;6;5;4;3;24
17:00;26;7;5;4;4;31
18:00;;11;5;4;;
19:00;;;5;4;;
20:00;18;4;15;5;2;21
21:00;17;3;158;113;4;22
22:00;24;3;118;81;5;31
23:00;69;3;72;43;29;114
