CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;2.8;17;7;88;70;1;17
01:00;2.7;15;6;82;65;1;15
02:00;1.4;25;4;54;42;2;28
03:00;1.9;29;5;63;49;3;33
04:00;1.9;26;5;69;55;2;29
05:00;1.9;27;8;70;55;3;31
06:00;1.9;28;9;70;55;2;30
07:00;1.9;29;10;73;56;5;37
08:00;1.9;37;8;70;52;11;52
09:00;2;46;7;65;49;15;67
10:00;3.2;44;7;55;43;12;61
11:00;3.5;26;9;57;40;8;38
12:00;0.9;17;12;51;38;5;24
13:00;0.9;14;12;52;37;3;18
14:00;0.9;16;10;55;39;3;21
15:00;0.9;14;14;51;39;2;17
16:00;0.9;19;13;55;42;4;23
17:00;1.8;21;13;80;63;3;24
18:00;2.7;23;12;85;64;2;25
19:00;2.2;22;10;77;59;1;23
20:00;1.9;27;6;79;55;2;29
21:00;2.5;29;5;93;70;2;31
22:00;4.4;25;7;109;86;1;25
23:00;3.9;21;7;92;73;1;22
