CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5.6;22;9;44;67;1060;125
01:00;3.7;17;9;44;39;;76
02:00;1;20;7;36;2;410;24
03:00;1;19;7;36;1;410;22
04:00;1;19;8;36;2;360;21
05:00;1;21;6;32;2;380;24
06:00;1;21;6;32;4;410;29
07:00;1;28;7;32;11;500;45
08:00;1;21;9;35;18;470;48
09:00;1;12;11;35;7;410;23
10:00;1;14;14;35;8;490;27
11:00;0.8;13;15;32;7;430;24
12:00;0.4;11;13;32;6;360;22
13:00;0.4;12;30;32;7;310;23
14:00;0.4;14;40;26;8;450;26
15:00;0.4;17;51;26;9;420;31
16:00;0.4;12;11;26;7;420;23
17:00;0.4;18;9;19;7;480;29
18:00;0.4;19;11;19;7;510;30
19:00;0.6;41;10;19;14;680;63
20:00;1.5;29;8;20;3;540;33
21:00;1.4;42;10;20;79;1180;164
22:00;4.2;35;9;20;103;1330;192
23:00;5.2;29;10;44;132;1520;230
