CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Tlenek węgla
00:00;1.8;4;27;310
01:00;1.1;7;21;290
02:00;0.4;2;17;270
03:00;0.4;3;9;310
04:00;0.4;3;20;300
05:00;0.4;3;18;320
06:00;0.4;2;11;340
07:00;0.4;2;9;400
08:00;0.4;3;10;
09:00;0.4;3;10;340
10:00;0.4;4;18;360
11:00;0.4;5;11;440
12:00;0.7;6;8;620
13:00;0.6;9;21;610
14:00;0.9;7;17;380
15:00;0.4;6;14;440
16:00;0.4;4;15;470
17:00;0.4;3;23;400
18:00;0.4;4;13;360
19:00;0.4;3;10;350
20:00;0.4;3;11;360
21:00;0.6;4;15;400
22:00;0.6;4;25;360
23:00;0.4;4;24;360
