CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.1;40;4;55;900;124
01:00;3.8;30;3;61;890;124
02:00;1.3;30;2;7;330;41
03:00;1.3;26;4;11;350;42
04:00;1.3;21;4;4;280;28
05:00;1.3;19;4;10;320;35
06:00;1.3;20;3;20;280;49
07:00;1.6;43;5;54;630;127
08:00;1.6;41;4;34;510;93
09:00;1.3;42;4;28;430;85
10:00;1.3;40;3;19;350;69
11:00;0.9;27;3;11;280;44
12:00;0.7;23;3;9;340;38
13:00;0.5;23;3;9;320;39
14:00;0.5;22;4;7;330;33
15:00;0.5;23;3;9;390;37
16:00;0.5;27;4;9;380;40
17:00;0.5;26;4;8;370;38
18:00;0.5;26;3;2;420;31
19:00;0.5;45;3;4;580;51
20:00;0.7;46;4;9;610;61
21:00;1.3;42;2;11;590;60
22:00;1.3;34;3;4;;41
23:00;1.6;38;4;23;670;73
