CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;12;5;2;160;14
01:00;10;4;1;120;11
02:00;12;4;2;330;13
03:00;11;3;2;280;12
04:00;14;3;3;280;18
05:00;13;4;3;250;16
06:00;16;4;9;270;29
07:00;23;4;23;450;57
08:00;34;4;53;590;115
09:00;34;5;61;620;126
10:00;34;4;65;790;131
11:00;32;4;48;740;103
12:00;29;5;32;;77
13:00;34;4;57;350;119
14:00;35;5;55;370;120
15:00;31;7;41;270;93
16:00;33;7;40;290;95
17:00;24;6;19;260;53
18:00;27;5;19;260;54
19:00;24;5;12;200;42
20:00;21;5;8;180;33
21:00;19;5;6;190;28
22:00;16;5;5;170;24
23:00;15;6;5;160;21
