CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;9;2;3;230;13
01:00;15;5;3;220;19
02:00;12;8;2;190;16
03:00;20;6;3;210;25
04:00;17;3;3;200;22
05:00;17;3;5;290;23
06:00;26;4;15;570;48
07:00;46;6;51;820;124
08:00;46;4;58;760;134
09:00;42;17;46;680;111
10:00;37;18;28;500;79
11:00;32;23;20;420;63
12:00;42;32;25;380;80
13:00;33;21;19;360;62
14:00;35;21;19;340;63
15:00;36;10;21;410;69
16:00;36;7;16;390;59
17:00;24;5;11;380;41
18:00;27;4;12;350;44
19:00;20;4;9;290;33
20:00;20;4;9;320;32
21:00;17;3;5;270;25
22:00;14;3;4;250;20
23:00;12;3;4;230;19
