CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;3.54389;27.3256;1.58817;53.6158;32.5204;39.1468;646.523;553.94;86.7
01:00;2.78708;21.5425;1.15739;47.6256;31.1072;23.9046;598.745;587.448;57.8
02:00;3.46346;33.5498;1.61012;30.0078;21.0487;10.3337;485.3;578.867;49.2
03:00;1.68402;24.6267;1;30.504;21.1603;6.3642;426.72;561.1;34.3
04:00;1.77324;21.1078;1.39214;29.9285;20.9089;7.09924;395.119;553.093;31.9
05:00;0.946095;20.4282;1.17734;32.8757;22.7872;13.4666;393.081;543.516;40.9
06:00;1.02732;15.4273;1.17587;29.0671;20.4714;12.461;351.561;509.641;34.4
07:00;1.34408;28.5728;1;40.2283;25.2258;19.8668;424.397;464.121;58.8
08:00;2.10584;45.4242;1;52.9057;29.3698;34.696;551.793;448.898;98.1
09:00;1.11309;42.4702;1.87338;58.5546;26.8283;38.0023;524.803;444.097;100.3
10:00;3.45003;46.8186;6.58379;42.7194;18.8477;21.5204;461.916;441.174;79.5
11:00;3.06972;40.5296;8.47018;38.0953;16.6135;12.8933;416.07;439.842;60.1
12:00;1.02109;18.0938;6.63108;33.8629;12.9156;3.47359;299.256;427.86;23.4
13:00;0.628295;18.5651;5.57521;41.9958;13.3242;3.6066;287.441;414.655;24.1
14:00;1.20211;9.55703;4.25629;26.0202;12.9946;1.55702;291.221;407.112;12
15:00;0.937975;10.4386;2.91447;25.7606;12.9409;1.28233;287.13;389.954;12.4
16:00;1.26356;12.5365;2.88196;29.9892;15.0282;1.70666;308.24;359.51;15.1
17:00;0.962858;19.7565;1.87486;42.2137;21.3206;2.62424;330.679;335.244;23.8
18:00;3.49692;37.4634;1.64137;41.7122;23.1868;6.7002;411.582;328.952;47.7
19:00;4.58289;55.358;1.94505;58.7771;31.3829;14.1209;568.734;348.035;76.8
20:00;3.2664;52.0735;1.27562;74.7139;39.7241;28.0565;610.004;386.879;94.8
21:00;2.53374;38.4561;1.50615;57.8882;34.4058;20.7425;595.179;425.346;70
22:00;2.49329;33.4467;1.96352;52.8018;33.1201;23.7962;625.501;467.131;69.6
23:00;2.89994;27.1986;1.1404;50.6828;30.4927;31.2339;643.319;511.655;74.6
