CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;6;4;14;1;170;6
01:00;5;2;17;1;510;6
02:00;38;4;57;3;380;43
03:00;30;3;38;2;370;34
04:00;20;3;29;7;380;31
05:00;20;3;21;25;460;58
06:00;24;3;53;41;580;87
07:00;34;4;57;27;480;75
08:00;;;34;;;
09:00;20;3;34;9;260;33
10:00;9;;25;3;210;13
11:00;6;2;11;1;170;7
12:00;7;3;8;2;200;10
13:00;6;3;19;1;170;8
14:00;5;4;10;1;170;7
15:00;9;4;22;1;180;10
16:00;21;6;24;2;310;23
17:00;23;3;46;5;440;30
18:00;43;3;32;7;480;54
19:00;35;2;30;5;390;43
20:00;43;3;45;7;470;53
21:00;23;2;30;2;290;25
22:00;9;2;18;1;180;10
23:00;7;2;14;1;180;8
