CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1.6;18;2;4;350;24
01:00;2.1;20;3;3;230;24
02:00;9.3;31;10;3;580;36
03:00;12.3;29;10;4;630;34
04:00;6;24;8;4;620;29
05:00;9.4;20;7;3;690;24
06:00;5.1;17;6;2;540;20
07:00;4.5;20;6;4;550;25
08:00;7.7;20;7;4;550;26
09:00;11.6;17;9;7;590;27
10:00;9.2;20;13;9;600;33
11:00;8;15;12;6;620;25
12:00;6.5;6;8;3;410;10
13:00;1.7;6;6;2;340;8
14:00;2.7;6;5;2;250;8
15:00;2;5;4;2;260;7
16:00;6.1;13;9;2;560;16
17:00;8.7;11;7;2;400;14
18:00;2.4;8;2;2;290;11
19:00;3.3;12;6;2;410;15
20:00;5.5;15;7;2;530;18
21:00;7.1;20;5;2;590;23
22:00;7.3;21;4;2;;24
23:00;7;14;3;2;310;17
