CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.5;11;6;23;1;210;12
01:00;0.5;15;16;14;2;310;16
02:00;0.5;12;11;9;2;280;14
03:00;0.5;16;16;6;2;250;19
04:00;0.5;16;10;6;3;250;19
05:00;0.5;15;10;9;3;270;19
06:00;0.5;20;14;8;4;290;26
07:00;0.5;16;5;10;6;260;24
08:00;0.5;13;4;11;5;280;19
09:00;0.5;17;4;10;7;320;26
10:00;0.6;20;4;9;7;350;31
11:00;0.8;25;5;5;11;410;42
12:00;1.1;24;6;13;10;360;37
13:00;1.1;20;10;12;10;310;34
14:00;0.9;25;8;12;10;450;40
15:00;1.1;27;4;16;8;470;39
16:00;1.1;35;5;13;8;510;47
17:00;1.1;35;4;14;13;580;53
18:00;1.8;36;5;24;14;610;57
19:00;2.3;33;5;25;9;500;46
20:00;1.6;32;6;27;9;480;44
21:00;1.1;27;6;35;7;410;37
22:00;1.1;20;7;22;5;310;27
23:00;1.1;13;6;11;1;230;15
