CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.1;13;2;2;350;16
01:00;1.4;19;1;4;430;25
02:00;6.7;8;1;62;1030;102
03:00;6.1;6;1;62;1080;101
04:00;5.2;6;1;78;1180;126
05:00;5.3;8;1;87;1170;140
06:00;6.2;10;1;81;1090;134
07:00;6.5;8;1;105;1240;168
08:00;6.9;17;1;131;1650;218
09:00;7;28;2;185;1890;311
10:00;6.2;37;2;101;1220;191
11:00;3.8;46;3;68;980;149
12:00;2.8;42;8;39;690;101
13:00;2;41;9;19;510;69
14:00;2.2;31;10;8;390;42
15:00;1.6;19;9;4;;25
16:00;1.2;21;7;4;370;26
17:00;1;18;6;3;440;23
18:00;3.4;16;4;3;570;20
19:00;3;19;4;2;480;22
20:00;1.6;22;4;2;650;25
21:00;4.2;19;3;2;590;22
22:00;2.2;13;3;2;460;15
23:00;1.2;9;1;1;310;11
