CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;1.07954;10.0135;4.14762;27.0636;18.4634;0.62731;419.28;423.892;11
00:00;1.01388;9.06975;4.408;27.719;18.881;0.624539;415.096;422.543;10
01:00;0.9741;9.21269;2.99883;19.3854;14.7258;0.567385;400.595;414.441;10.1
02:00;1.73958;10.1054;4.50121;22.5323;16.0805;0.693124;421.461;415.959;11.2
03:00;1.7845;13.3968;7.80333;22.8489;16.4871;0.904421;461.334;422.813;14.8
04:00;3.36389;17.5491;3.32875;36.3839;26.9297;1.46141;511.539;433.25;19.8
05:00;5.19358;22.0542;8.0467;43.5027;32.7752;2.28513;580.186;455.521;25.6
06:00;6.99241;24.4311;7.45196;51.5666;38.5902;2.91937;779.168;498.582;28.9
07:00;6.81681;25.0359;8.00453;41.122;28.2498;2.39078;765.392;541.846;28.7
08:00;6.54027;27.848;9.64894;51.4687;25.9604;4.54012;845.512;595.648;34.8
09:00;3.70934;23.6542;10.9693;61.5406;31.1809;6.49548;719.43;635.503;33.6
10:00;1.31954;14.8906;6.53101;32.6014;19.5379;4.35584;443.862;638.303;21.6
11:00;1.19688;10.6405;3.18598;25.7502;16.6433;2.67759;419.144;633.029;14.7
12:00;1.08125;9.45766;1.00454;26.2923;16.032;2.20511;407.21;619.988;12.8
13:00;1.41416;9.582;1.34038;26.9822;16.9961;1.86184;409.125;598.605;12.4
14:00;0.930265;11.3733;1.72429;29.0313;15.1135;2.22589;407.957;552.204;14.8
15:00;0.85333;8.27426;1.54592;20.4288;12.751;1.16075;364.642;502.11;10.1
16:00;0.860365;10.2271;1.75526;21.4533;12.5358;1.05268;365.522;442.111;11.8
17:00;1.32721;20.4819;1.0503;38.4876;17.5606;1.35854;405.09;402.819;22.6
18:00;4.75776;19.9483;1.46465;41.3512;23.3226;0.915159;444.658;402.918;21.4
19:00;13.2218;32.6576;16.2813;91.9421;46.0538;1.59789;1036.68;480.11;35.1
20:00;11.0032;32.3026;14.5637;126.811;61.1613;4.16048;1522.04;619.464;38.7
21:00;9.4614;58.6621;8.56376;121.096;61.2914;33.0164;1724.71;783.912;109.1
22:00;8.75229;58.245;2.99809;151.202;76.5213;74.952;1546.96;926.288;172.8
23:00;9.84202;48.5402;1;146.613;93.094;49.6354;1436.51;1060.27;124.4
00:00;11.2803;43.4958;1.35665;164.523;112.454;40.8292;1577.23;1211.73;105.9
