CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;6;56;43;610
01:00;7;34;28;600
02:00;12;27;24;410
03:00;11;29;25;410
04:00;10;31;26;420
05:00;10;30;25;400
06:00;10;31;27;440
07:00;12;35;28;470
08:00;13;34;28;470
09:00;18;34;29;480
10:00;19;34;27;530
11:00;14;31;25;520
12:00;8;26;23;370
13:00;4;25;20;320
14:00;3;22;17;280
15:00;2;18;14;270
16:00;1;14;11;270
17:00;2;14;10;270
18:00;3;14;10;280
19:00;3;14;12;280
20:00;3;17;15;290
21:00;5;20;18;290
22:00;8;34;26;520
23:00;9;48;37;670
