CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenki azotu
00:00;28;2;24;64
01:00;22;2;21;53
02:00;19;2;21;50
03:00;17;1;13;37
04:00;14;1;13;34
05:00;13;2;11;29
06:00;10;1;16;34
07:00;10;1;65;109
08:00;11;1;88;145
09:00;;2;;
10:00;;3;;
11:00;;6;;
12:00;;12;;
13:00;;16;;
14:00;;14;;
15:00;;10;;
16:00;;8;;
17:00;;4;;
18:00;;3;;
19:00;;3;;
20:00;;2;;
21:00;;2;;
22:00;;2;;
23:00;;2;;
