CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;7.4;34;6;52;1;35
01:00;3.8;35;5;57;3;40
02:00;0.5;17;4;18;0;17
03:00;0.5;20;4;23;0;20
04:00;0.5;20;3;16;4;25
05:00;0.7;25;3;19;13;45
06:00;1.2;20;4;22;14;42
07:00;1.2;27;6;26;34;79
08:00;1.2;32;8;26;28;74
09:00;1.2;29;8;33;16;53
10:00;1.2;28;10;24;14;49
11:00;1;16;6;16;8;29
12:00;0.5;15;5;11;5;22
13:00;0.5;12;4;8;4;17
14:00;0.5;16;11;8;5;22
15:00;0.5;11;12;14;4;16
16:00;0.5;14;8;15;4;20
17:00;0.5;11;9;14;1;12
18:00;0.5;10;7;15;1;11
19:00;0.5;15;5;14;0;15
20:00;0.5;11;5;21;0;11
21:00;0.9;27;6;28;2;30
22:00;1.5;36;10;41;3;41
23:00;2.1;43;13;41;2;47
