CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;22.1;58;6;273;195;67;2290;161
01:00;10.9;57;14;150;109;31;1450;104
02:00;6.8;61;21;114;85;26;1000;101
03:00;5.9;52;21;94;74;5;800;59
04:00;5.1;44;18;109;88;10;960;60
05:00;6.9;40;12;164;103;4;910;45
06:00;5.9;35;8;116;92;5;710;44
07:00;5.1;39;12;96;80;9;690;53
08:00;5.1;36;16;89;73;11;640;53
09:00;4.6;37;17;87;65;20;660;68
10:00;3.8;32;26;81;59;20;540;62
11:00;3.3;28;25;67;48;15;;52
12:00;2.5;28;38;60;32;12;;46
13:00;1.4;36;55;58;29;18;580;63
14:00;1.3;29;33;41;23;11;620;46
15:00;1.3;17;9;37;23;4;540;24
16:00;1.3;14;3;31;19;3;400;19
17:00;1.3;17;4;49;33;1;380;18
18:00;2.4;21;6;73;53;0;;22
19:00;4.2;50;6;92;62;1;850;51
20:00;4.1;29;6;80;55;0;590;29
21:00;4.2;41;8;104;73;4;810;46
22:00;7.8;67;8;171;107;48;1530;140
23:00;21.3;64;7;255;171;70;1970;170
