CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5.4;16;2;84;940;145
01:00;4.4;12;1;52;800;91
02:00;2.1;26;1;3;530;30
03:00;8.3;36;2;6;810;45
04:00;11.9;48;3;13;1000;67
05:00;10.6;48;5;13;900;67
06:00;14.5;45;6;8;900;56
07:00;4.5;34;5;4;660;39
08:00;2.1;47;5;22;970;81
09:00;10.2;51;12;42;710;115
10:00;15.3;45;9;34;530;97
11:00;2.6;23;4;8;;35
12:00;7;25;9;12;420;43
13:00;7.3;25;7;11;750;41
14:00;4.7;;;;;
15:00;5.8;22;8;7;660;33
16:00;4.4;27;14;9;890;40
17:00;2.9;31;8;6;780;40
18:00;1.5;25;5;3;620;28
19:00;1.8;26;4;2;720;28
20:00;5.9;44;4;42;1140;107
21:00;5;37;3;77;1170;154
22:00;6;27;2;72;1000;136
23:00;6;21;1;84;990;150
