CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;14;4;5;3;2;16
01:00;9;4;4;3;1;11
02:00;12;3;12;6;2;15
03:00;13;4;9;4;2;16
04:00;13;4;10;4;2;17
05:00;16;3;17;9;5;23
06:00;24;4;14;7;22;58
07:00;30;4;21;11;39;90
08:00;38;3;29;18;60;131
09:00;38;5;16;9;46;107
10:00;32;4;10;5;25;70
11:00;22;5;9;4;17;48
12:00;16;5;8;3;10;32
13:00;15;4;4;3;8;27
14:00;29;4;9;4;15;52
15:00;33;4;13;6;21;64
16:00;19;4;4;3;12;36
17:00;21;5;4;3;10;37
18:00;22;2;4;3;10;37
19:00;22;4;3;3;13;42
20:00;22;4;5;3;8;33
21:00;19;4;5;3;6;28
22:00;15;4;5;3;4;21
23:00;15;5;5;3;5;22
