CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;4;32;13;8;810;44
01:00;3.5;23;10;4;370;29
02:00;3.1;19;9;2;;23
03:00;3.1;20;9;3;550;24
04:00;3.1;19;9;3;580;23
05:00;2.6;16;6;3;590;20
06:00;2.5;19;3;10;560;34
07:00;2.7;26;5;18;860;53
08:00;3.4;31;7;28;980;73
09:00;3.3;27;8;30;790;73
10:00;3.5;27;11;29;880;70
11:00;3.4;26;12;30;760;71
12:00;3.6;25;11;28;680;67
13:00;3.2;27;12;25;680;66
14:00;3.3;33;13;26;680;72
15:00;3.7;33;15;17;710;59
16:00;5;38;15;16;880;62
17:00;7;37;8;9;850;50
18:00;;27;3;3;710;32
19:00;;31;3;5;710;39
20:00;;29;2;7;550;40
21:00;;35;10;8;770;46
22:00;;37;13;9;930;49
23:00;4.2;29;14;6;660;38
