CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;5;55;159;130;1140
01:00;2.3;21;61;48;480
02:00;2.3;22;60;49;470
03:00;2.3;22;67;54;540
04:00;2.3;25;67;54;580
05:00;2.3;30;74;58;650
06:00;2.5;36;90;70;830
07:00;2.8;46;107;84;1090
08:00;3.4;46;113;90;1190
09:00;3.8;47;116;93;1160
10:00;3.9;49;111;89;1100
11:00;3.9;51;109;86;990
12:00;3.9;58;111;87;960
13:00;3.9;83;114;88;990
14:00;3.6;;105;82;
15:00;3.6;61;123;97;1000
16:00;3.6;56;115;92;960
17:00;3.8;54;118;93;1080
18:00;3.9;52;132;107;1060
19:00;4.1;44;152;125;1060
20:00;4.2;51;163;134;1200
21:00;4.7;57;175;143;1280
22:00;5.1;57;174;143;1290
23:00;5.2;56;158;130;1180
