CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek węgla
00:00;5;8;3;230
01:00;5;203;160;1900
02:00;;;;
03:00;5;201;160;1890
04:00;10;204;166;1760
05:00;13;210;171;1720
06:00;14;200;163;1720
07:00;13;162;134;1440
08:00;15;142;116;1310
09:00;23;126;103;1230
10:00;31;86;67;860
11:00;29;65;46;640
12:00;20;51;31;430
13:00;15;37;19;380
14:00;14;28;13;370
15:00;6;22;5;250
16:00;4;16;5;230
17:00;3;18;4;220
18:00;5;14;5;250
19:00;5;22;11;290
20:00;6;22;13;300
21:00;7;28;18;360
22:00;6;31;21;360
23:00;5;13;5;250
