CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;32;2;51;33;6;500;39
01:00;39;2;50;36;17;610;64
02:00;21;2;39;27;3;260;25
03:00;18;1;36;25;2;230;21
04:00;14;2;35;22;2;570;16
05:00;11;2;32;21;2;340;14
06:00;15;3;39;26;2;580;18
07:00;26;9;66;41;5;770;34
08:00;29;12;85;49;8;900;42
09:00;32;20;86;47;9;760;45
10:00;31;20;83;45;9;740;45
11:00;27;21;79;39;6;930;36
12:00;21;15;;;4;630;26
13:00;12;10;39;17;2;340;15
14:00;8;6;22;6;1;190;10
15:00;12;8;28;8;2;230;14
16:00;15;12;30;9;2;280;18
17:00;14;14;32;9;1;270;16
18:00;12;9;33;9;1;290;14
19:00;10;6;28;7;1;310;11
20:00;17;4;29;7;2;550;19
21:00;38;3;35;15;4;380;44
22:00;56;3;44;20;11;720;73
23:00;51;3;47;28;13;640;71
