CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;30;16;18;810;58
01:00;35;14;12;;55
02:00;35;10;13;530;55
03:00;33;8;13;480;54
04:00;25;5;8;550;37
05:00;35;6;23;740;70
06:00;40;10;35;860;94
07:00;40;10;36;1030;95
08:00;37;10;26;1080;77
09:00;30;10;25;1120;68
10:00;29;6;22;950;62
11:00;32;9;23;;66
12:00;31;8;22;560;65
13:00;30;9;15;;53
14:00;18;9;3;330;24
15:00;19;11;3;530;24
16:00;20;10;3;780;25
17:00;18;13;2;490;21
18:00;15;5;1;470;17
19:00;14;5;2;740;17
20:00;18;4;4;520;24
21:00;19;2;5;480;26
22:00;24;7;12;790;42
23:00;24;16;11;570;42
