CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.1;66;6;142;74;64;1100;163
01:00;2.3;56;6;100;68;27;960;97
02:00;2.3;43;7;72;50;2;980;46
03:00;2.3;25;5;53;43;3;540;28
04:00;1.9;25;4;60;46;3;650;28
05:00;1.9;31;2;53;39;6;740;39
06:00;1.9;33;3;64;46;15;820;56
07:00;1.9;31;2;98;69;51;1100;108
08:00;1.9;35;5;68;48;48;840;109
09:00;1.9;30;10;82;44;17;590;55
10:00;1.9;28;18;98;48;13;610;47
11:00;2.1;27;15;97;44;10;630;42
12:00;1.9;9;7;33;22;2;350;11
13:00;1.8;6;7;31;17;1;310;8
14:00;1.5;6;5;20;13;2;290;8
15:00;1.3;8;6;21;14;2;320;11
16:00;1;6;4;16;9;1;270;6
17:00;1;4;3;16;11;0;250;5
18:00;;5;4;14;9;0;240;5
19:00;;16;3;30;16;1;300;18
20:00;0.4;20;6;38;19;1;580;21
21:00;0.7;25;13;58;33;1;760;26
22:00;1.3;70;14;96;44;49;1130;145
23:00;1.9;74;7;149;64;102;1360;229
