CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla 8h;Tlenki azotu
00:00;1.265;16.5537;4.05018;41.6277;35.1906;2.18675;473.364;497.301;19.9098
01:00;1.215;14.588;3.18199;28.1245;23.5222;1.67929;527.278;483.446;17.1655
02:00;1.22612;12.7907;4.2785;29.3463;24.1611;1.6211;480.079;489.841;15.2785
03:00;1.18865;11.6388;5.25605;33.088;27.0576;1.44375;460.51;490.053;13.8439
04:00;1.14977;11.8363;4.99005;33.563;27.5794;1.49328;450.412;486.623;14.1228
05:00;1.1192;12.0695;4.63317;30.4445;25.2533;1.76243;447.66;482.512;14.7617
06:00;1.08173;15.9652;4.70484;29.3769;24.299;6.9735;472.407;483.349;26.6575
07:00;1.0692;19.6745;4.83562;28.4229;23.4617;13.8098;517.031;484.378;40.8451
08:00;1.10268;19.8577;4.97158;29.1295;23.9803;12.3484;520.614;484.499;38.7924
09:00;1.09123;18.0493;4.75508;31.8694;25.7878;10.6456;486.056;479.346;34.3825
10:00;1.09004;15.8813;4.73957;30.3096;24.964;10.5583;492.929;480.952;32.0658
11:00;1.12331;13.853;4.53489;29.1527;24.4178;8.62439;489.336;484.556;27.0829
12:00;1.08454;14.1594;4.7839;30.8096;25.601;5.36279;458.545;485.572;22.3879
13:00;1.07892;15.97;4.66198;34.9756;28.8029;6.68427;476.296;489.152;26.2183
14:00;1.08724;18.9102;5.54348;41.0824;32.5664;13.398;504.371;493.147;39.461
15:00;1.10668;24.1517;5.79913;46.4067;34.0834;12.9754;518.688;493.354;44.0525
16:00;1.12612;25.4147;5.94174;46.2534;34.1163;16.8567;531.177;494.675;51.2586
17:00;1.14556;20.5126;5.19472;42.5884;32.4639;10.0962;504.3;496.955;35.9918
18:00;1.1637;22.5584;5.04916;49.4111;39.0939;8.59079;517.17;499.985;35.7321
19:00;1.20258;22.5913;5.34472;59.0827;47.755;4.14073;509.614;502.52;28.9323
20:00;1.22472;21.4266;4.56519;59.6939;48.51;3.88648;515.311;509.616;27.3745
21:00;1.25939;19.3452;4.06348;53.2022;44.2636;2.79259;486.233;510.858;23.6302
22:00;1.29276;19.6968;4.98709;46.0424;38.5864;3.54771;490.003;509.062;25.1433
23:00;1.28304;19.4456;4.20831;44.0594;37.1002;3.34473;482.415;504.528;24.5798
