CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenki azotu
00:00;25;3;7;35
01:00;15;3;4;21
02:00;24;6;4;31
03:00;23;;7;33
04:00;22;4;6;31
05:00;25;5;5;32
06:00;37;5;20;67
07:00;34;4;26;73
08:00;31;5;9;45
09:00;26;5;6;36
10:00;17;5;3;22
11:00;14;6;2;18
12:00;17;6;3;21
13:00;19;9;5;27
14:00;32;9;20;62
15:00;32;7;23;68
16:00;22;5;8;33
17:00;24;5;9;38
18:00;34;5;30;80
19:00;37;4;35;90
20:00;34;5;21;66
21:00;31;4;13;50
22:00;24;4;7;35
23:00;33;3;14;54
