CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;23;10;3;890;27
01:00;24;7;5;940;31
02:00;10;6;1;390;12
03:00;11;7;2;400;14
04:00;6;4;1;230;7
05:00;6;4;0;200;7
06:00;8;4;1;210;9
07:00;10;4;1;190;12
08:00;15;4;2;220;18
09:00;18;4;2;250;21
10:00;16;3;2;290;19
11:00;12;4;2;320;15
12:00;16;7;4;480;21
13:00;20;17;6;820;28
14:00;23;26;7;950;34
15:00;15;19;5;;22
16:00;22;16;6;620;30
17:00;20;10;3;470;24
18:00;31;21;5;870;39
19:00;24;12;6;650;33
20:00;21;11;4;660;26
21:00;24;14;6;770;32
22:00;18;11;2;610;20
23:00;22;14;3;880;26
