CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;44;20;14;950;66
01:00;39;15;143;3690;259
02:00;33;11;127;3480;227
03:00;28;6;130;3520;228
04:00;26;6;117;3230;205
05:00;27;7;116;2680;205
06:00;41;8;207;3360;358
07:00;45;12;194;2680;343
08:00;42;12;158;2670;284
09:00;43;16;51;1470;121
10:00;38;16;30;1180;85
11:00;34;14;20;1090;65
12:00;31;11;11;920;49
13:00;30;11;10;750;46
14:00;33;11;12;840;52
15:00;38;14;19;880;67
16:00;41;12;18;770;69
17:00;45;14;16;980;69
18:00;42;11;22;860;75
19:00;38;8;15;700;62
20:00;42;10;21;720;75
21:00;34;10;10;590;49
22:00;42;11;16;;66
23:00;44;16;18;860;71
