CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;45;17;145;3530;267
01:00;27;19;14;580;50
02:00;22;17;10;570;38
03:00;22;12;11;490;39
04:00;;;;;
05:00;17;12;4;470;24
06:00;20;12;4;480;27
07:00;22;10;18;590;51
08:00;23;9;15;660;46
09:00;25;4;67;880;127
10:00;31;10;54;950;113
11:00;21;10;19;700;51
12:00;25;11;23;580;61
13:00;25;8;15;620;48
14:00;35;9;20;700;66
15:00;44;9;28;820;86
16:00;48;6;71;1200;156
17:00;45;4;102;1510;201
18:00;54;2;221;2470;391
19:00;58;7;252;3680;444
20:00;54;5;252;4050;440
21:00;51;8;243;4340;422
22:00;51;9;286;4450;488
23:00;47;12;204;570;358
