CZAS;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;4;50;31
01:00;3;56;36
02:00;;;
03:00;;;
04:00;;;
05:00;;;
06:00;;;
07:00;;;
08:00;;;
09:00;;;
10:00;;;
11:00;;;
12:00;;;
13:00;;;
14:00;;;
15:00;;;
16:00;;;
17:00;;13;5
18:00;7;8;3
19:00;7;10;3
20:00;7;24;9
21:00;7;29;14
22:00;7;38;20
23:00;6;41;24
