CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;2.8;44;7;77;57;1060;130
01:00;3.6;31;5;70;45;1040;99
02:00;0.5;25;3;32;2;370;26
03:00;0.5;19;3;30;2;;21
04:00;0.5;14;3;34;1;310;17
05:00;0.5;21;2;28;6;400;29
06:00;1;25;2;24;16;500;50
07:00;1.2;29;2;36;22;530;61
08:00;1.2;24;3;38;15;420;47
09:00;0.7;24;2;33;13;450;43
10:00;0.7;22;3;33;14;480;42
11:00;1;18;4;30;9;400;31
12:00;0.5;21;5;20;8;410;32
13:00;2.8;19;9;27;5;370;27
14:00;0.7;20;12;22;6;410;29
15:00;0.5;21;13;21;5;390;29
16:00;0.5;17;12;15;4;370;24
17:00;0.5;16;9;17;4;380;23
18:00;0.5;14;13;25;4;290;19
19:00;0.5;18;8;27;4;400;24
20:00;0.5;39;7;20;7;630;49
21:00;1;33;7;28;1;650;36
22:00;2.2;42;6;58;11;830;60
23:00;3;54;6;75;60;1140;145
