CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;32;4;8;700;43
01:00;28;4;6;660;36
02:00;20;3;3;270;23
03:00;18;3;3;270;22
04:00;17;4;3;240;20
05:00;18;1;3;240;22
06:00;25;4;10;270;39
07:00;25;3;7;280;35
08:00;33;4;32;530;82
09:00;33;5;33;500;82
10:00;26;17;23;280;60
11:00;18;9;14;280;40
12:00;19;6;9;270;32
13:00;18;6;9;270;30
14:00;21;7;11;260;38
15:00;23;8;12;;41
16:00;23;8;9;250;37
17:00;30;4;10;290;44
18:00;34;4;15;390;56
19:00;41;5;27;680;81
20:00;41;4;34;770;92
21:00;43;3;26;740;81
22:00;38;4;16;680;62
23:00;32;4;13;720;52
