CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;1;29;8;3;460;32
01:00;1;27;5;1;450;28
02:00;3.8;57;6;22;730;89
03:00;2.6;61;6;10;700;74
04:00;2.1;50;7;21;670;81
05:00;2.1;47;7;47;800;118
06:00;2.1;56;8;64;1000;152
07:00;3.1;49;13;13;630;68
08:00;1.1;45;11;16;590;67
09:00;1;27;6;6;330;34
10:00;0.6;20;7;4;290;25
11:00;0;19;14;6;320;27
12:00;0;24;14;5;350;31
13:00;0;24;22;5;280;31
14:00;0;22;16;7;;32
15:00;0;25;30;6;380;31
16:00;0;22;11;5;350;28
17:00;0;26;28;7;330;35
18:00;0;36;35;6;450;43
19:00;0;25;12;4;540;30
20:00;0;28;9;3;420;31
21:00;0;40;12;3;430;43
22:00;0.5;48;14;5;560;54
23:00;1;38;8;2;490;40
