CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;3.1;51;4;38;1010;111
01:00;3.1;43;3;5;620;51
02:00;2.5;51;4;8;580;63
03:00;1.2;42;4;4;510;48
04:00;1;30;4;4;450;36
05:00;1;30;6;12;600;48
06:00;1;40;6;22;820;73
07:00;2.1;48;8;32;930;98
08:00;2.1;25;7;9;550;39
09:00;1.1;22;4;5;410;30
10:00;0.5;29;2;8;500;41
11:00;0.6;11;4;3;300;15
12:00;0;10;3;1;290;12
13:00;0;11;6;2;280;15
14:00;0;13;8;3;;18
15:00;1.5;27;21;7;610;38
16:00;3.6;19;14;5;460;26
17:00;1.2;19;12;4;400;24
18:00;0.6;23;6;4;310;28
19:00;0;43;5;12;540;61
20:00;1;51;5;9;600;64
21:00;1;62;5;18;700;90
22:00;1;55;4;27;790;95
23:00;1.5;52;3;40;920;113
