CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;5;40;15;97;34;1180;93
01:00;4.9;29;16;50;14;890;51
02:00;3.4;28;15;43;15;1050;51
03:00;3.7;30;15;39;15;1010;53
04:00;3.4;31;14;49;15;950;55
05:00;3.1;35;13;46;43;1180;101
06:00;3.9;33;14;38;40;1100;94
07:00;3.5;36;17;44;42;1060;100
08:00;3;39;15;50;37;1000;96
09:00;3;40;16;37;40;950;101
10:00;2.4;39;22;36;35;;92
11:00;2;40;20;49;33;800;91
12:00;2;41;21;39;34;780;94
13:00;2;47;20;39;38;870;105
14:00;2.7;55;14;29;50;920;132
15:00;3;53;18;49;55;1150;138
16:00;3.7;51;18;58;66;1240;151
17:00;4.7;49;18;82;49;1150;124
18:00;4.5;51;18;70;66;1320;152
19:00;9.5;49;21;77;44;1220;116
20:00;5;48;23;84;50;1300;125
21:00;5;47;22;87;57;1360;134
22:00;5.2;46;20;93;54;1430;128
23:00;5.9;44;20;103;31;1230;91
