CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;20;4;18;2;350;24
01:00;17;3;20;5;;24
02:00;24;5;29;2;400;27
03:00;20;5;21;1;370;23
04:00;14;5;27;1;280;17
05:00;17;5;12;2;280;21
06:00;19;5;22;4;300;26
07:00;17;6;23;5;290;25
08:00;12;7;14;4;240;18
09:00;11;8;8;5;260;18
10:00;13;17;23;5;260;22
11:00;10;8;13;4;280;15
12:00;9;6;6;4;250;14
13:00;14;15;;5;270;23
14:00;10;10;4;4;260;15
15:00;9;9;6;4;230;15
16:00;10;8;7;3;260;16
17:00;9;5;7;2;250;13
18:00;13;5;4;4;290;19
19:00;14;6;3;4;320;20
20:00;22;5;6;3;350;27
21:00;30;5;9;4;420;36
22:00;35;5;10;5;420;43
23:00;28;5;7;3;380;32
