CZAS;Benzen;Dwutlenek siarki;Pył zawieszony PM10;Tlenek węgla
00:00;0.6;4;23;270
01:00;0.4;4;31;260
02:00;0.4;4;30;210
03:00;0.4;5;21;260
04:00;0.4;5;12;300
05:00;0.4;5;9;260
06:00;0.4;6;6;350
07:00;0.4;7;15;550
08:00;0.9;6;10;590
09:00;1;6;18;
10:00;1;7;28;400
11:00;0.6;6;18;320
12:00;0.4;6;10;310
13:00;0.4;5;6;400
14:00;0.7;5;19;340
15:00;0.4;3;22;330
16:00;0.4;3;20;350
17:00;0.4;4;23;350
18:00;0.4;4;13;320
19:00;0.4;3;21;360
20:00;0.7;3;37;420
21:00;0.7;3;22;450
22:00;0.6;4;33;570
23:00;1;4;32;380
