CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;0.5;36;79;57;16;690;59
01:00;0.5;27;71;50;13;640;48
02:00;0.5;20;38;27;2;250;23
03:00;0.5;24;33;23;5;270;32
04:00;0.5;23;37;26;5;280;31
05:00;0.5;22;44;32;4;260;28
06:00;0.5;26;45;32;8;330;37
07:00;0.5;27;45;31;14;390;48
08:00;0.5;26;42;30;19;350;54
09:00;0.5;28;39;25;17;350;54
10:00;0.5;22;30;18;8;310;34
11:00;0.5;21;27;14;6;290;30
12:00;0.5;18;24;9;3;320;23
13:00;0.5;17;33;13;2;450;20
14:00;0.5;17;45;21;2;490;20
15:00;0.5;6;33;10;0;300;6
16:00;0.5;10;15;7;0;;10
17:00;0.5;13;18;7;1;280;13
18:00;0.5;15;24;8;1;310;15
19:00;0.5;10;25;13;0;280;9
20:00;0.5;12;47;31;1;310;13
21:00;0.5;13;48;32;1;330;15
22:00;0.5;30;69;49;7;490;40
23:00;0.5;31;75;53;7;540;40
