CZAS;Benzen;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenek węgla;Tlenki azotu
00:00;12.2;15;3;100;1510;168
01:00;10.5;10;2;62;1410;106
02:00;5;21;3;38;1020;80
03:00;5.1;18;2;38;;74
04:00;5.2;13;3;35;890;67
05:00;4.9;9;2;24;800;46
06:00;4.5;11;2;36;880;66
07:00;5.5;15;2;55;990;99
08:00;5;18;3;81;1080;141
09:00;5.4;46;5;110;1330;213
10:00;5.4;46;6;53;970;127
11:00;3.4;43;8;22;590;76
12:00;2.5;32;8;11;380;47
13:00;1.9;22;6;7;250;32
14:00;1.3;21;5;8;180;33
15:00;1;19;4;5;130;26
16:00;1;33;7;11;160;50
17:00;1.5;26;8;6;180;35
18:00;1.2;34;6;6;330;43
19:00;2.8;37;2;26;840;77
20:00;9.3;30;3;29;1890;74
21:00;16.1;21;2;24;1340;57
22:00;11.3;22;3;76;1500;137
23:00;13.2;18;3;116;1660;195
