CZAS;Dwutlenek azotu;Dwutlenek siarki;Tlenek azotu;Tlenki azotu
00:00;21;2;39;81
01:00;18;2;31;65
02:00;17;3;3;22
03:00;12;2;3;16
04:00;15;2;3;19
05:00;10;1;2;13
06:00;10;1;3;15
07:00;23;2;54;107
08:00;21;1;60;113
09:00;32;4;30;78
10:00;38;8;26;76
11:00;30;8;13;50
12:00;21;7;6;29
13:00;16;5;4;21
14:00;16;5;4;21
15:00;18;4;4;25
16:00;19;8;4;24
17:00;18;14;3;22
18:00;25;23;3;29
19:00;30;6;5;37
20:00;36;3;22;69
21:00;40;2;48;112
22:00;34;2;60;125
23:00;25;2;58;113
